ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,GRADRATE20,GRADRATE19,GRADRATE18,GRADRATE17
2020,Abbeville County School Dist,Abbeville High School,160001,H,83.5,85,87.3,88.1
2020,Abbeville County School Dist,Dixie High School,160003,H,88,81.7,78.3,87.2
2020,Abbeville County School Dist,Abbeville County School Dist,160999,D,85.6,83.5,83.9,87.8
2020,"Aiken County Public School
District",Silver Bluff High,201001,H,88.2,90.6,87.5,86.7
2020,"Aiken County Public School
District",Aiken High School,201002,H,92.8,93.3,90.1,93.1
2020,"Aiken County Public School
District",South Aiken High School,201003,H,89.3,92.3,88.4,89.8
2020,"Aiken County Public School
District",Midland Valley High School,201006,H,89.5,88.4,88.8,89.5
2020,"Aiken County Public School
District",North Augusta High School,201012,H,92.2,90.8,89.3,89.5
2020,"Aiken County Public School
District",Wagener-Sally High,201015,H,96.4,92.5,85.7,89.2
2020,"Aiken County Public School
District",Ridge Spring-Monetta High School,201060,H,98.1,96.2,89.1,89.8
2020,"Aiken County Public School
District",Aiken Scholars Academy,201061,H,*,*,*,*
2020,"Aiken County Public School
District",Aiken County Public School District,201999,D,91.2,91.3,88.9,90
2020,Allendale County Schools,Allendale-Fairfax High,301001,H,87.3,76.5,74.3,83.5
2020,Allendale County Schools,Allendale County Schools,301999,D,87.3,76.5,74.3,83.5
2020,Anderson School District One,Palmetto High,401001,H,87,84.1,85.3,86.1
2020,Anderson School District One,Powdersville High School,401002,H,94.6,96.7,97,93.9
2020,Anderson School District One,Wren High School,401003,H,93.2,94.9,89.9,95.7
2020,Anderson School District One,Anderson School District One,401999,D,91.6,91.9,90.2,91.9
2020,Anderson 2,Belton-Honea Path High School,402012,H,91.8,86.8,84.3,89.3
2020,Anderson 2,Anderson 2,402999,D,91.8,86.8,84.3,89.3
2020,Anderson School District Three,Crescent High School,403022,H,91,92.9,92.5,89.7
2020,Anderson School District Three,Anderson School District Three,403999,D,90.4,92.9,91.9,89.2
2020,Anderson 4,Pendleton High,404027,H,85,84.5,85,86.1
2020,Anderson 4,Anderson 4,404999,D,85,84.5,85,86.1
2020,Anderson School District Five,T. L. Hanna High School,405038,H,88.1,87.1,85.9,88
2020,Anderson School District Five,Westside High School,405048,H,77.2,80.2,78.9,79.5
2020,Anderson School District Five,Anderson Five Charter School,405601,H,92.3,82.1,83.3,82.6
2020,Anderson School District Five,Anderson School District Five,405999,D,82.8,83.5,82.6,83.4
2020,Bamberg School District 1,Bamberg-Ehrhardt High School,501001,H,89.2,87.7,76.9,88.6
2020,Bamberg School District 1,Bamberg School District 1,501999,D,89.2,87.7,76.9,88.6
2020,Bamberg 2,Denmark Olar High,502007,H,89.2,74.6,83.7,69.1
2020,Bamberg 2,Bamberg 2,502999,D,89.2,74.6,83.7,69.1
2020,Barnwell 19,Blackville Hilda High School,619001,H,88.7,89.4,85.7,90.4
2020,Barnwell 19,Barnwell 19,619999,D,88.7,89.4,85.7,90.4
2020,Williston School District 29,Williston-Elko High School,629006,H,81.7,87.3,91.4,88.3
2020,Williston School District 29,Williston School District 29,629999,D,81.7,87.3,91.4,88.3
2020,Barnwell School District 45,Barnwell High School,645009,H,84.4,87.6,83.4,83.7
2020,Barnwell School District 45,Barnwell School District 45,645999,D,83.4,87.1,80.1,83.7
2020,Beaufort County Schools,Beaufort High School,701002,H,81.1,84.4,81.7,87.5
2020,Beaufort County Schools,Hilton Head Island High School,701003,H,87.3,87.8,91.7,90.2
2020,Beaufort County Schools,Battery Creek High School,701004,H,84.2,83.9,76.6,77.4
2020,Beaufort County Schools,Bluffton High School,701030,H,82.5,85.2,87.2,82.7
2020,Beaufort County Schools,"Whale Branch Early College High
School",701036,H,90.6,90,88.8,83.9
2020,Beaufort County Schools,May River High School,701039,H,91.9,94.1,97.3,93
2020,Beaufort County Schools,Beaufort County Schools,701999,D,85.7,86.9,86,84.1
2020,Berkeley County School District,Stratford High School,801001,H,79.8,79.7,84.8,81.2
2020,Berkeley County School District,Berkeley High School,801002,H,82.7,80.2,84.4,83.5
2020,Berkeley County School District,Cross High School,801006,H,76,68.5,76.9,82.8
2020,Berkeley County School District,Goose Creek High,801007,H,81.8,80.2,76.4,75
2020,Berkeley County School District,Hanahan High School,801008,H,88,85.1,86.6,90.4
2020,Berkeley County School District,Timberland High School,801043,H,84,81.5,79.7,76.6
2020,Berkeley County School District,Cane Bay High School,801049,H,89.7,89.2,89.3,92.3
2020,Berkeley County School District,Berkeley Middle College,801051,H,100,100,100,100
2020,Berkeley County School District,Philip Simmons High School,801056,H,88.6,0,*,*
2020,Berkeley County School District,Berkeley County School District,801999,D,84.4,82.6,83.8,83.5
2020,Calhoun County Schools,Calhoun County High School,901001,H,86.3,90.6,89.3,90.1
2020,Calhoun County Schools,Calhoun County Schools,901999,D,86.3,90.6,89.3,90.1
2020,"Charleston County School
District",Baptist Hill Middle High School,1001001,H,79.6,74,80.6,82.1
2020,"Charleston County School
District",North Charleston High,1001002,H,66,76.6,67,59.6
2020,"Charleston County School
District",Garrett Academy Of Technology,1001008,H,93.9,90.4,87.4,83.9
2020,"Charleston County School
District",Burke High School,1001010,H,81.7,72,80,78
2020,"Charleston County School
District",Wando High School,1001014,H,93.1,93.3,91.4,92.1
2020,"Charleston County School
District",Military Magnet Academy,1001018,H,93.9,95,84.8,87.5
2020,"Charleston County School
District",St. John's High School,1001020,H,72.5,77.8,65.9,79.2
2020,"Charleston County School
District",R.B. Stall High School,1001022,H,75.1,63.2,64,63.8
2020,"Charleston County School
District",Charleston County School Of The Arts,1001098,H,97.9,97.3,98.7,99.3
2020,"Charleston County School
District",Academic Magnet High School,1001099,H,100,100,100,100
2020,"Charleston County School
District",West Ashley High School,1001104,H,84.1,78.2,77,78.9
2020,"Charleston County School
District",Greg Mathis Charter High School,1001615,H,25,25.6,33.3,17
2020,"Charleston County School
District",James Island Charter High,1001616,H,93.8,91.2,90.9,92.5
2020,"Charleston County School
District","Charleston Charter School For Math
And Science, Inc.",1001620,H,96.7,94.1,96.8,94.5
2020,"Charleston County School
District",Pace Charter School,1001628,H,0,0,0,0
2020,"Charleston County School
District",Allegro Charter School Of Music,1001630,H,91.7,93.8,*,-1
2020,"Charleston County School
District",Charleston County School District,1001999,D,86.6,84.2,83.5,84.2
2020,Cherokee County,Blacksburg High,1101001,H,83.1,84.2,81.6,89.1
2020,Cherokee County,Gaffney High School,1101003,H,82.1,82.7,83.4,82.8
2020,Cherokee County,Cherokee County,1101999,D,82.3,82.6,82.5,84.1
2020,Chester County School District,Chester High School,1201002,H,80.3,71.5,80.3,83.4
2020,Chester County School District,Great Falls High School,1201005,H,76.7,86.8,87.5,77.8
2020,Chester County School District,Lewisville High School,1201006,H,90.9,93.8,91.1,95.1
2020,Chester County School District,Chester County School District,1201999,D,82.8,79,83.8,85.8
2020,"Chesterfield County School
District",Cheraw High School,1301001,H,89.2,84.7,85.3,88.5
2020,"Chesterfield County School
District",Chesterfield High School,1301002,H,88.5,85.1,85.7,95.5
2020,"Chesterfield County School
District",Mcbee High School,1301006,H,91.1,86.9,83.3,88.4
2020,"Chesterfield County School
District",Central High School,1301007,H,82.6,77.3,77.6,84.4
2020,"Chesterfield County School
District",Chesterfield County School District,1301999,D,87.2,83,82.9,90.2
2020,Clarendon School District One,Scott's Branch Middle High School,1401001,H,86.3,85.5,77.4,82.4
2020,Clarendon School District One,Clarendon School District One,1401999,D,86.3,85.5,77.4,82.4
2020,Clarendon School District Two,Manning High School,1402007,H,84.5,84.2,79.9,79.4
2020,Clarendon School District Two,Phoenix Charter High School,1402610,H,61.5,50,50,27.3
2020,Clarendon School District Two,Clarendon School District Two,1402999,D,84.5,84.2,79.9,79
2020,Clarendon 3,East Clarendon Middle / High School,1403016,H,93,83.6,88.4,91.4
2020,Clarendon 3,Clarendon 3,1403999,D,93,83.6,88.4,91.4
2020,Colleton County,Colleton County High School,1501005,H,78.1,78.4,85,86.5
2020,Colleton County,Colleton County,1501999,D,78.1,78.4,85,86.5
2020,"Darlington County School
District",Hartsville High School,1601005,H,91.5,91.6,90.2,93.4
2020,"Darlington County School
District",Lamar High School,1601006,H,98.4,100,100,100
2020,"Darlington County School
District",Darlington High School,1601030,H,83.1,87.1,80,77.4
2020,"Darlington County School
District","Mayo High School For Math, Science &
Technology",1601033,H,100,100,98.7,100
2020,"Darlington County School
District",Darlington County School District,1601999,D,89.8,91.5,87.5,88
2020,Dillon District Three,Latta High School,1703019,H,83.2,82.8,88.6,83.5
2020,Dillon District Three,Dillon District Three,1703999,D,83.2,81.5,88,83.5
2020,Dillon School District Four,Lake View High School,1704002,H,86.7,88.3,86,94.3
2020,Dillon School District Four,Dillon High School,1704005,H,84.2,83.6,86.2,88.7
2020,Dillon School District Four,Dillon School District Four,1704999,D,84.8,84.8,86.2,89.2
2020,Dorchester School District Two,Summerville High School,1802006,H,91,89.8,86.6,84
2020,Dorchester School District Two,Fort Dorchester High School,1802020,H,93.5,91.8,88.6,85.8
2020,Dorchester School District Two,Ashley Ridge High School,1802027,H,92,91,92.6,90.2
2020,Dorchester School District Two,Dorchester School District Two,1802999,D,91.4,90.3,88.7,86
2020,Dorchester District 4,Woodland High School,1804019,H,91.7,92.9,89.9,87.4
2020,Dorchester District 4,Dorchester District 4,1804999,D,91.7,92.9,89.9,87.4
2020,"Edgefield County School
District","Strom Thurmond High School	",1901002,H,84.9,86.5,85.6,84.8
2020,"Edgefield County School
District",Edgefield County School District,1901999,D,84.9,86.5,85.6,84.8
2020,Fairfield County School District,Fairfield Central High School,2001013,H,88.4,81,86.2,91
2020,Fairfield County School District,Fairfield County School District,2001999,D,88,80.6,85.8,91
2020,Florence One Schools,South Florence High School,2101004,H,80.2,80.6,80.3,80.9
2020,Florence One Schools,Wilson High School,2101006,H,86.9,85.5,79.9,83.4
2020,Florence One Schools,West Florence Hs,2101014,H,91.6,85.1,85.1,88.7
2020,Florence One Schools,Florence One Schools,2101999,D,86.1,83.7,82.1,84.5
2020,"Florence County School District
2",Hannah-Pamplico High School,2102024,H,78.9,76.3,75,87.8
2020,"Florence County School District
2",Florence County School District 2,2102999,D,78.9,76.3,75,87.8
2020,Florence School District Three,Lake City High School,2103029,H,72.1,72.7,74.6,86.5
2020,Florence School District Three,"J Paul Truluck Creative Arts And
Science Magnet School",2103054,H,*,*,*,*
2020,Florence School District Three,Florence School District Three,2103999,D,71.8,72.4,74.6,86.5
2020,"Florence County School District
Four",Timmonsville High School,2104041,H,82.5,83.3,85.2,89.1
2020,"Florence County School District
Four",Florence County School District Four,2104999,D,82.5,83.3,85.2,89.1
2020,"Florence County School District
Five",Johnsonville High School,2105045,H,86,77.9,89.1,89.3
2020,"Florence County School District
Five",Florence County School District Five,2105999,D,83.1,77.9,89.1,87.6
2020,"Georgetown County School
District",Andrews High School,2201001,H,86,90.1,87.8,98.4
2020,"Georgetown County School
District",Georgetown High,2201004,H,84.3,80.4,83.7,87
2020,"Georgetown County School
District",Waccamaw High School,2201025,H,93.7,90.7,87.6,93
2020,"Georgetown County School
District",Carvers Bay High School,2201026,H,84.8,82.3,87.3,83.2
2020,"Georgetown County School
District",Georgetown County School District,2201999,D,87.7,85.8,86.2,90.3
2020,"The School District Of
Greenville County",Berea High School,2301002,H,72.6,77.3,70.8,73
2020,"The School District Of
Greenville County",Blue Ridge High School,2301003,H,86.5,86.3,83.4,85.8
2020,"The School District Of
Greenville County",Carolina High School And Academy,2301005,H,79.1,74.8,73.9,84
2020,"The School District Of
Greenville County",Eastside High School,2301006,H,89.3,87.6,88.7,93.4
2020,"The School District Of
Greenville County","Greenville Senior High Academy Of
Law, Finance And Business",2301008,H,89.2,83.4,82.5,89.7
2020,"The School District Of
Greenville County",Greer High School,2301009,H,81.2,80.6,82.3,86.5
2020,"The School District Of
Greenville County",Wade Hampton High School,2301010,H,92.4,91.7,89.7,97
2020,"The School District Of
Greenville County",Hillcrest High School,2301012,H,86.4,85.3,86.5,87.4
2020,"The School District Of
Greenville County",J. L. Mann High School,2301013,H,86.1,87,85.5,90.6
2020,"The School District Of
Greenville County",Mauldin High School,2301014,H,92.7,92.9,92,94.7
2020,"The School District Of
Greenville County",Riverside High School,2301017,H,93,90.5,91.5,91.6
2020,"The School District Of
Greenville County",Southside High School,2301018,H,71.1,75.7,74,74.7
2020,"The School District Of
Greenville County",Travelers Rest High School,2301020,H,83.1,80.5,82.4,86.7
2020,"The School District Of
Greenville County",Woodmont High School,2301023,H,92.5,87.9,80.1,83.4
2020,"The School District Of
Greenville County",Washington Center School,2301902,H,0,0,0,0
2020,"The School District Of
Greenville County",The School District Of Greenville County,2301999,D,86.1,85.1,83.6,87.3
2020,Greenwood School District 50,Emerald High School,2450001,H,82.7,81.9,75.4,81.9
2020,Greenwood School District 50,Greenwood High School,2450002,H,84.5,85.6,85.9,84.8
2020,Greenwood School District 50,Greenwood School District 50,2450999,D,83.9,84,82.1,83.7
2020,Greenwood School District 51,Ware Shoals High School,2451020,H,76.6,81.3,79.2,81
2020,Greenwood School District 51,Greenwood School District 51,2451999,D,76.6,81.3,79.2,81
2020,Greenwood School District 52,Ninety Six High,2452025,H,87.8,87.3,91.5,84.4
2020,Greenwood School District 52,Greenwood School District 52,2452999,D,87.8,87.3,90.8,83.1
2020,Hampton 1,Wade Hampton High School,2501001,H,83.3,87.6,84.6,86.9
2020,Hampton 1,Hampton 1,2501999,D,83.3,87.1,84.6,85.9
2020,Hampton 2,Estill High Scholl,2502011,H,88.7,88.3,87.9,84.4
2020,Hampton 2,Hampton 2,2502999,D,88.7,88.3,87.9,84.4
2020,Horry,Aynor High,2601001,H,89.8,85.4,89.5,82.8
2020,Horry,North Myrtle Beach High,2601002,H,80.4,84.1,85.6,87.5
2020,Horry,Conway High,2601004,H,85.3,74.8,78.6,72.6
2020,Horry,Green Sea Floyds High,2601006,H,87.1,86.7,81.6,76.2
2020,Horry,Loris High,2601008,H,80,81.3,75.6,84
2020,Horry,Myrtle Beach High School,2601010,H,82.5,82.4,76.1,75.7
2020,Horry,Socastee High,2601011,H,83.4,84.5,81.7,81.1
2020,Horry,Carolina Forest High,2601052,H,81.1,86.6,83.2,79.9
2020,Horry,St. James High,2601058,H,85.3,84.2,87.6,81.3
2020,Horry,Hcs Early College High,2601064,H,98.9,98.9,99,100
2020,Horry,"Palmetto Academy Of Learning
Motorsports (Palm)",2601604,H,63.4,63.5,59.1,43.9
